subject_code,section,course_title,units,time,room,instructor,max_no,lang,level,free_slots,remarks,s,p
A,SPECIAL TOPICS IN SOCIAL COMPUTING:  ADVANCED SOCIAL COMPUTING,3.0,TUTORIAL 0000-0000,TBA,ESTUAR| MA. REGINA J. E.,2,ENG,G,0,-,N,N,
A,BASIC KOREAN 1 LANGUAGE AND CULTURE,3.0,D 1100-1230,TBA,WOO| Sun Jung,18,~,U,-2,-,N,N,
A,INTERMEDIATE JAPANESE 1,3.0,D 1400-1530,TBA,SANTOS| CARLOS LUIS L.,13,~,U,9,*PRE-REQUISITE: JPN 13 OR ASSESSMENT AND APPROVAL OF THE JSP DIRECTOR; ALL SLOTS FOR STUDENTS UNDER THE (NEW) 2018 CURRICULUM,N,N,
A,JAPANESE LANGUAGE AND CULTURE 3,3.0,D 1230-1400,TBA,SANTOS| CARLOS LUIS L.,13,~,U,9,*PRE-REQUISITE: JPN 12 OR ASSESSMENT AND APPROVAL OF THE JSP DIRECTOR; ALL SLOTS FOR STUDENTS UNDER THE (NEW) 2018 CURRICULUM,N,N,
A,JAPANESE LANGUAGE AND CULTURE 2,3.0,D 1100-1230,TBA,TAN| JOY ANN FAITH F.,15,~,U,-2,*PRE-REQUISITE: JPN 11 OR ASSESSMENT AND APPROVAL OF THE JSP DIRECTOR; ALL SLOTS FOR STUDENTS UNDER THE (NEW) 2018 CURRICULUM,N,N,
A,JAPANESE LANGUAGE AND CULTURE 1,3.0,D 0800-0930,TBA,ALVAREZ| ROELIA V.,15,~,U,0,*ALL SLOTS FOR STUDENTS UNDER THE (NEW) 2018 CURRICULUM,N,N,
A,JAPANESE LANGUAGE AND CULTURE 2,3.0,D 1100-1230,TBA,TAN| JOY ANN FAITH F.,5,~,U,3,*PRE-REQUISITE: FLC 1 JSP OR ASSESSMENT AND APPROVAL OF THE JSP DIRECTOR; ALL SLOTS FOR STUDENTS UNDER THE (OLD) PRE-2018 CURRICULUM,N,N,
A,CONTEMPORARY ISSUES:  CULTURAL STUDIES OF TECHNOLOGY (HYPERMEDIA| THE WORLD WIDE WEB| AND THE CONTEMPORARY CRITICAL THEORY AND TECHNOLOGY),3.0,M-W-F 1300-1530,TBA,LORENZANA| GEORGE PETER A.,5,ENG,U,5,-,N,N,
A,SPECIAL TOPICS IN PHILIPPINE STUDIES: REPRESENTATION OF OTHERNESS IN FILM AND LITERATURE,3.0,T 0800-1230; TH 0800-1100,TBA; TBA,LABASTILLA| SKILTY C.,35,ENG,U,1,-,N,N,
A,CONTEMPORARY ISSUES: PSYCHOLOGY AND PERSONAL GROWTH,3.0,M-W-F 0800-1030,TBA,TRINIDAD| JOSE EOS R.,35,ENG,U,-3,*Mostly asynchronous with synch sessions WF 09:00-10:00 AM,N,N,
A,MEDIA STUDIES: FILIPINO FILM AND SOCIETY,3.0,M-W-F 1030-1300,TBA,CASTRO| KARL FREDRICK M.,35,ENG,U,2,-,N,N,
A,HUMANS AND CULTURE: CULTURAL STUDIES OF TECHNOLOGY (HYPERMEDIA| THE WORLD WIDE WEB| AND THE CONTEMPORARYCRITICAL THEORY AND TECHNOLOGY),3.0,M-W-F 1300-1530,TBA,LORENZANA| GEORGE PETER A.,35,ENG,U,14,-,N,N,
A,PRACTICUM,3.0,SAT 0800-1100,TBA,DE VERA| JOSE ALFREDO III A.| SAMACO| JAPHETH DUANE C.| SUGAY| JESSICA O.,30,ENG,U,0,ALL SLOTS FOR BS MIS MAJORS. ALL SLOTS FOR BSMIS-MSCS MAJORS.,N,N,
A,BUSINESS APPLICATIONS DEVELOPMENT 1,3.0,D 1100-1230,TBA,AGLORO| GUILLERMO PAOLO JR. M.,32,ENG,U,0,ALL SLOTS FOR BS MIS MAJORS. ALL SLOTS FOR BSMIS-MSCS MAJORS.,N,N,
A,BASI KOREAN 2 LANGUAGE AND CULTURE,3.0,D 1100-1230,TBA,JAVIER| Aurea,18,~,U,14,-,N,N,
A,PRACTICUM,3.0,TUTORIAL 0000-0000,TBA,SUGAY| JESSICA O.,5,ENG,U,4,ALL SLOTS FOR BS MIS MAJORS. ALL SLOTS FOR BSMIS-MSCS MAJORS.,N,N,
A,INTEGRATIVE PROJECT 1,3.0,SAT 0800-1100,TBA,DIY| WALFRIDO DAVID A.,10,ENG,U,2,ALL SLOTS FOR BS CS-DGDD MAJORS.,N,N,
A,FINAL PAPER SUBMISSION,0.0,TBA,TBA,TBA| -,50,ENG,G,48,-,N,N,
A,RESIDENCY FOR DOCTORAL LEVEL,0.0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N,
A,DISSERTATION II,0.0,TUTORIAL 0000-0000,TBA,FERNANDEZ| PROCESO| JR. L.,5,ENG,G,5,-,N,N,
A,THESIS I,3.0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N,
A,SPECIAL TOPICS IN ADVANCED MULTIMEDIA:  HUMAN-COMPUTER INTERACTION,3.0,TUTORIAL 0000-0000,TBA,ESTUAR| MA. REGINA J. E.,2,ENG,G,0,-,N,N,
A,THESIS II,0.0,TUTORIAL 0000-0000,TBA,ABU| PATRICIA ANGELA R.,5,ENG,G,5,-,N,N,
A,THESIS I,0.0,TUTORIAL 0000-0000,TBA,ABU| PATRICIA ANGELA R.,5,ENG,G,5,-,N,N,
A,DATA SCIENCE PROJECT II,3.0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N,
A,DATA SCIENCE PROJECT I,3.0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N,
A,INNOVATION PROJECT 2,3.0,TUTORIAL 0000-0000,TBA,DY| S.J.| JASON K.,5,ENG,G,4,-,N,N,
A,INNOVATION PROJECT 1,3.0,TUTORIAL 0000-0000,TBA,RODRIGO| MA. MERCEDES T.,5,ENG,G,4,-,N,N,
A,INDEPENDENT PROJECT II,0.0,TUTORIAL 0000-0000,TBA,MAGUYON| ARIEL A.,5,ENG,G,4,-,N,N,
A,INTRODUCTION TO THE DESIGN AND DEVELOPMENT OF COMPUTER GAMES,3.0,D 1400-1530,TBA,DIY| WALFRIDO DAVID A.,41,ENG,U,-5,1 SLOTS FOR BS CS-DGDD MAJORS.,N,N,
A,INDEPENDENT PROJECT I,0.0,TUTORIAL 0000-0000,TBA,MAGUYON| ARIEL A.,5,ENG,G,5,-,N,N,
A,PHILIPPINE BUSINESS ENVIRONMENT: POLICIES AND PROGRAMS ON ENTERPRISE DEVELOPMENT,3.0,D 1400-1530,TBA,INGCO| JULIO III S.,22,ENG,U,0,-,N,N,
A,STRATEGIC HUMAN RESOURCE MANAGEMENT,3.0,D 1100-1230,TBA,LUMAIN| Joseph Daniel,34,ENG,U,1,3 SLOTS FOR BS COMTECH MAJORS. 1 SLOTS FOR 4TH YEAR BS ITE MAJORS. *Required subject for Minor in Management & Minor in Strategic Human Resource Management,N,N,
A,SEMINAR ON CLASSROOM TEACHING IN MATHEMATICS,3.0,T 1700-2000; TH 1700-2130,TBA; TBA,GUZON| ANGELA FATIMA H.,10,ENG,G,6,-,N,N,
A,DISSERTATION II,0.0,TBA,TBA,TBA| -,50,ENG,G,47,-,N,N,
A,DISSERTATION I,0.0,TBA,TBA,TBA| -,50,ENG,G,47,-,N,N,
A,SEMINAR ON RESEARCH TOPICS IN MATHEMATICS,3.0,TBA,TBA,EDEN| RICHARD B.,5,ENG,G,2,-,N,N,
A,FINAL PAPER SUBMISSION,0.0,TBA,TBA,TBA| -,50,ENG,G,49,-,N,N,
A,MATHEMATICAL FINANCE PROJECT,3.0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N,
A,ADVANCED STATISTICAL METHODS,3.0,D 1100-1230,TBA,BATALLER| RAMIL T.,15,ENG,G,6,-,N,N,
A,FINANCIAL DERIVATIVES I,3.0,D 1230-1400,TBA,CABRAL| EMMANUEL A.,15,ENG,G,6,-,N,N,
A,SEMINAR IN FINITE MATHEMATICS,3.0,M-W-F 1730-2000,TBA,NEBRES| S.J.| BIENVENIDO F.,15,ENG,G,8,-,N,N,
A,ELEMENTARY PROBABILITY THEORY,3.0,D 1530-1700,TBA,ONG| LU CHRISTIAN S.,25,ENG,U,0,-,N,N,
A,INTRODUCTION TO STATISTICAL ANALYSIS,3.0,D 0800-0930,TBA,BATALLER| RAMIL T.,26,ENG,U,11,-,N,N,
A,FUNDAMENTAL CONCEPTS OF MATHEMATICS,3.0,D 1530-1700,TBA,EDEN| RICHARD B.,27,ENG,U,0,-,N,N,
A,DISCRETE MATHEMATICS,3.0,D 1100-1230,TBA,MUGA II| FELIX P.,27,ENG,U,-2,-,N,N,
A,STRATEGIC HUMAN RESOURCE MANAGEMENT IN THE HOSPITALITY INDUSTRY,3.0,T 0800-1100; TH 0800-1230,TBA; TBA,DURAN| Benedict James,32,ENG,U,0,-,N,N,
A,APPLIED CALCULUS FOR SCIENCE AND ENGINEERING II,3.0,D 0800-0930,TBA,GO| CLARK KENDRICK C.,26,ENG,U,0,-,N,N,
A,APPLIED CALCULUS FOR BUSINESS AND ECONOMICS II,3.0,D 1230-1400,TBA,DAVID| RODEN JASON A.,26,ENG,U,-4,-,N,N,
A,APPLIED CALCULUS FOR BUSINESS AND ECONOMICS I,3.0,D 1230-1400,TBA,DOMINGO| EURLYNE J.,25,ENG,U,0,-,N,N,
A,UNIVERSITY PRECALCULUS,3.0,D 1400-1530,TBA,DAYAO| PAUL L.,25,ENG,U,0,-,N,N,
A,MATHEMATICS IN THE MODERN WORLD,3.0,D 1530-1700,TBA,GUILLERMO| MIDA R.,27,ENG,U,17,-,N,N,
A,MARKETING COMMUNICATIONS,3.0,M-W-F 1030-1300,TBA,TANCHINGCO| NORMAN S.,20,ENG,U,0,*PRE-REQ: MKTG 111 or MKTG 111.03 or MKTG 111.04 or MKTG 111.30,N,N,
A,LAW ON BUSINESS TRANSACTION,3.0,M-W-F 0800-1030,TBA,GONZALES| CATHERINE JENNIFER F. P.,25,ENG,U,0,ALL SLOTS FOR BS LM MAJORS.,N,N,
A,THESIS 2,0.0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N,
A,COMPREHENSIVE EXAMINATIONS,0.0,TBA,TBA,TBA| -,6,ENG,G,2,-,N,N,
A,RESEARCH METHODS,3.0,M-W-F 1800-2030,TBA,MENDIOLA| ANNA A.,8,ENG,G,0,-,N,N,
A,WORK PRACTICUM,1.5,M-W-F 1415-1530,TBA,MARIANO| ANNALISA MARGARITA V.,22,ENG,U,1,-,N,N,
A,WORK PRACTICUM,1.5,M-W-F 1300-1415,TBA,MARIANO| ANNALISA MARGARITA V.,22,ENG,U,1,-,N,N,
A,WORK PRACTICUM,3.0,D 1700-1830,TBA,UY| SEAN RICH U.,28,ENG,U,2,ALL SLOTS FOR 4TH YEAR BS LM MAJORS.,N,N,
A,SUSTAINABILITY AND SOCIAL RESPONSIBILITY,3.0,M-W-F 1800-2030,TBA,TAN| ROSS KENDRICK S.,25,ENG,U,0,-,N,N,
A,APPLIED CALCULUS FOR SCIENCE AND ENGINEERING I,3.0,D 1400-1530,TBA,GO| CLARK KENDRICK C.,30,ENG,U,7,-,N,N,
A,PRACTICUM I,3.0,TBA,TBA,TBA| -,50,ENG,G,49,-,N,N,
A,METHODS OF RESEARCH IN COMPUTER SCIENCE,3.0,M-W-F 1800-2030,TBA,ESTUAR| MA. REGINA J. E.,25,ENG,G,15,-,N,N,
A,HUMAN COMPUTER INTERACTION,3.0,D 1100-1230,TBA,AGAPITO| JENILYN L.,15,ENG,G,2,-,N,N,
A,FINANCIAL ACCOUNTING,3.0,D 1400-1530,TBA,GATCHALIAN| JOYCE B.,20,ENG,U,7,-,N,N,
A,ORAL DEFENSE,0.0,TBA,TBA,TBA| -,50,ENG,G,49,-,N,N,
A,THESIS II,0.0,TBA,TBA,TBA| -,50,ENG,G,47,-,N,N,
A,PAMARAAN NG PAGSASALIKSIK NA PAMPANITIKAN,3.0,D 0800-0930,TBA,YAPAN| ALVIN B.,26,ENG,G,26,-,N,N,
A,PANITIKANG FILIPINO SA IKA-19 NA DANTAON,3.0,D 1400-1530,TBA,COROZA| MICHAEL M.,26,ENG,G,26,-,N,N,
A,MAPANURING KASAYSAYAN NG PANITIKAN NG PILIPINAS,3.0,D 1100-1230,TBA,ULIT| CLAUDETTE M.,26,ENG,G,25,-,N,N,
A,PRACTICUM 1,3.0,D 0930-1100,TBA,LIM| MARK BENEDICT F.,26,ENG,U,25,-,N,N,
A,KULTURANG POPULAR AT USAPIN NG KASARIAN,3.0,D 1230-1400,TBA,DEVILLES| GARY C.,30,ENG,U,3,-,N,N,
A,MGA PANITIKAN AT PELIKULA NG SIYUDAD: PANAHON NG BATAS MILITAR,3.0,D 0930-1100,TBA,DEVILLES| GARY C.,30,ENG,U,12,-,N,N,
A,PANITIKAN NG PILIPINAS,3.0,D 0930-1100,TBA,BENITEZ| CHRISTIAN JIL R.,26,ENG,U,17,-,N,N,
A,PANITIKAN NG PILIPINAS PARA SA MGA DI-KATUTUBONG TAGAPAGSALITA NG FILIPINO (PANITIKAN NG PILIPINAS FOR NON-FILIPINO SPEAKERS),3.0,D 1100-1230,TBA,ABELEDA| ANNA TRISHA MONICA O.,26,ENG,U,26,-,N,N,
A,MALAYUNING KOMUNIKASYON,3.0,D 1230-1400,TBA,BENITEZ| CHRISTIAN JIL R.,26,ENG,U,20,-,N,N,
A,RESEARCH PAPER,0.0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N,
A,MANAGERIAL ACCOUNTING,3.0,D 1100-1230,TBA,ONG| JANICA MARIE T.,25,ENG,U,0,-,N,N,
A,INTEGRATING CLASS,3.0,SAT 0830-0430,TBA,TIONLOC| JAVIER RICO ISRAEL R.,20,ENG,U,4,-,N,N,
A,SEMINAR,1.0,W 1800-2030,TBA,MENDOZA| Milette,2,ENG,G,0,ALL SLOTS FOR MEM MAJORS.*TUTORIAL,N,N,
A,ENVIRONMENTAL IMPACT ASSESSMENT,3.0,D 1530-1700,TBA,FUTALAN| Cybelle Concepcion,2,ENG,U,0,2 SLOTS FOR BS ES MAJORS.,N,N,
A,ENVIRONMENTAL MONITORING| LAB.,3.0,D 0930-1100,TBA,JARDELEZA MIJARES| JEAN MEIR P.,2,ENG,U,0,ALL SLOTS FOR BS ES MAJORS.,N,N,
A,ES PUBLICATIONS AND CONFERENCES,0.0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N,
A,DISSERTATION WRITING II,6.0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N,
A,DISSERTATION RESEARCH III,0.0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N,
A,DISSERTATION RESEARCH II,0.0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N,
A,DISSERTATION RESEARCH I,0.0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N,
A,DISSERTATION WRITING I,6.0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N,
A,COMPREHENSIVE EXAM,0.0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N,
A,SPECIAL TOPICS,3.0,M-W-F 1530-1800,TBA,GOTANGCO| CHARLOTTE KENDRA D.,2,ENG,G,1,-,N,N,
A,RESIDENCY FOR MASTER'S LEVEL,0.0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N,
A,ORAL DEFENSE (MASTERS),0.0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N,
A,MASTER'S PROJECT,2.0,T-TH 1700-1930,TBA,GUZMAN| MA AILEEN LEAH G.,12,ENG,G,11,-,N,N,
A,SPECIAL TOPICS:  OBJECT ORIENTED PROGRAMMING FOR MOBILE SYSTEMS,3.0,D 1400-1530,TBA,JONGKO| JEFFREY J.,12,ENG,G,3,-,N,N,
A,PRINCIPLES OF FINANCE,3.0,D 1400-1530,TBA,TONG| ALDO ZELIG U.,27,ENG,U,0,-,N,N,
A,ART AS INQUIRY: ART OF RESPONSE,3.0,M-W-F 1530-1800,TBA,VAN DER WALL| Hidde Tjakke,25,ENG,U,0,1 SLOTS FOR 3RD YEAR AB AM MAJORS.,N,N,
A,DATA VISUALIZATION,3.0,D 0930-1100,TBA,TEE| HANNAH ELYSE U.,2,ENG,G,1,-,N,N,
A,INTRODUCTION TO ARTIFICIAL INTELLIGENCE,3.0,D 1530-1700,TBA,CORONEL| ANDREI D.,24,ENG,G,3,-,N,N,
A,PRACTICUM,3.0,SAT 0800-1100,TBA,CASANO| JONATHAN DL.| SUGAY| JESSICA O.,27,ENG,U,0,ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.,N,N,
A,SPECIAL TOPICS IN SOFTWARE ENGINEERING: ANDROID DEVELOPMENT,3.0,D 1400-1530,TBA,JONGKO| JEFFREY J.,35,ENG,U,8,ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS. ALL SLOTS FOR BS MIS MAJORS. ALL SLOTS FOR BSMIS-MSCS MAJORS. ALL SLOTS FOR INTERACTIVE MULTIMEDIA MINORS/SPECIALIZATION. ALL SLOTS FOR ENTERPRISE SYSTEMS MINORS/SPECIALIZATION.,N,N,
A,WEB PAGE DESIGN,3.0,D 1530-1700,TBA,DE LA CRUZ| ROMELL IAN B.| SAMACO| JAPHETH DUANE C.,20,ENG,U,1,ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.*FOR PRE-ENLISTED MNST ELECTIVE TAKERS ONLY,N,N,
A,HUMAN COMPUTER INTERACTION,3.0,D 1100-1230,TBA,AGAPITO| JENILYN L.,25,ENG,U,-1,-,N,N,
A,DATA VISUALIZATION,3.0,D 0930-1100,TBA,TEE| HANNAH ELYSE U.,38,ENG,U,-2,-,N,N,
A,INTRODUCTION TO ARTIFICIAL INTELLIGENCE,3.0,D 1530-1700,TBA,BAUTISTA| FRANCIS MICHAEL T.| CORONEL| ANDREI D.,20,ENG,U,-1,ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS. ALL SLOTS FOR BS MIS MAJORS. ALL SLOTS FOR BSMIS-MSCS MAJORS. ALL SLOTS FOR DATA SCIENCE AND ANALYTICS MINORS/SPECIALIZATION.,N,N,
A,PRACTICUM,3.0,TUTORIAL 0000-0000,TBA,SUGAY| JESSICA O.,5,ENG,U,2,ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.,N,N,
A,INTEGRATIVE PROJECT,1.0,TUTORIAL 0000-0000,TBA,TY| JAYZON F.,1,ENG,U,0,ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.,N,N,
A,ART APPRECIATION,3.0,D 0930-1100,TBA,MA-ALAT| Pauline Bianca,30,ENG,U,-2,-,N,N,
A,RESEARCH PROJECTS IN HISTORY,0.0,TBA,TBA,TBA| -,50,ENG,G,50,-,N,N,
A,PRACTICUM,3.0,D 1230-1400,TBA,GIRON| BRIAN PAUL A.,10,ENG,U,3,ALL SLOTS FOR AB HI MAJORS.,N,N,
A,ENTREPRENEURIAL FINANCE,3.0,T-TH 1700-2000; W 1700-1830,TBA; TBA,PARLAN| ALICE ANN M.,25,ENG,U,0,-,N,N,
A,READINGS IN PHILIPPINE HISTORY,3.0,D 0930-1100,TBA,NAVARRO| FRANCIS M.,29,ENG,U,0,-,N,N,
A,SCHOLARLY WORK 1B: COLLABORATION AND DATA COLLECTION,2.0,D 1830-1930,TBA,ADARLO| GENEJANE M.,8,ENG,U,1,-,N,N,
A,RESEARCH METHODS IN HEALTH SCIENCES,3.0,D 1100-1230,TBA,ADARLO| GENEJANE M.| CAPIO| CATHERINE M.,87,ENG,U,1,-,N,N,
A,THE HEALTH PROFESSIONAL AS ADMINISTRATOR,1.0,D 1400-1530,TBA,MARQUEZ| NORMAN DENNIS E.| RODEROS| Ma. Via Jucille,19,ENG,U,0,-,N,N,
A,INTRODUCTION TO HEALTH POLICY AND SYSTEMS RESEARCH,3.0,D 1530-1700,TBA,SIY VAN| VANESSA T.,30,ENG,U,0,-,N,N,
A,FUNDAMENTALS OF GLOBAL HEALTH,3.0,D 1230-1400,TBA,RODEROS| Ma. Via Jucille,30,ENG,U,-4,-,N,N,
A,STATISTICS FOR THE HEALTH SCIENCES,3.0,D 1230-1400,TBA,HAW| NEL JASON L.| SIY VAN| VANESSA T.,87,ENG,U,2,-,N,N,
A,MATERIALS IMPROVISATION,3.0,TUTORIAL 0000-0000,TBA,MARASIGAN| ALFRED BENEDICT C.,2,ENG,G,1,-,N,N,
A,SPECIAL TOPICS IN INFORMATION DESIGN: VISUAL NARRATIVES IN COMICS AND GRAPHIC NOVELS,3.0,SAT 0800-1230; SAT 1400-1700,TBA; TBA,LAO| Joan Eunice| SOLIONGCO| ANGELO ALFONSO G.,16,ENG,U,12,-,N,N,
A,DESIGN PROCEDURES: CHARACTER DESIGN,3.0,T 0800-1100; TH 0800-1230,TBA; TBA,MARCELO| MENEER B.,16,ENG,U,-1,-,N,N,
A,DESIGN PROCEDURES: INTERACTION DESIGN,3.0,SAT 0800-1230; SAT 1400-1700,TBA; TBA,NAVARRO| ROXANNE E.,16,ENG,U,0,-,N,N,
A,DESIGN PROCEDURES: PRINT AND PUBLICATION DESIGN,3.0,T 1700-2000; TH 1700-2130,TBA; TBA,BELMONTE| JAN-DANIEL S.,19,ENG,U,5,-,N,N,
A,DESIGN PRACTICE:  BRANDING,3.0,M-W-F 1030-1300,TBA,MONSOD| TRACY ANN LIBERTY A.,15,ENG,U,0,-,N,N,
A,INTERNSHIP AND PROFESSIONAL EXPOSURE,3.0,SAT 0800-1230; SAT 1400-1700,TBA; TBA,BAUTISTA| Jaime Maria,25,ENG,U,2,-,N,N,
A,RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION,3.0,D 0800-0930,TBA,LOZADA| DAVID III O.,30,ENG,U,0,-,N,N,
A,THESIS 2 (THESIS WRITING AND DEFENSE),0.0,M-W-F 0800-1030,TBA,GUZMAN| MA AILEEN LEAH G.,15,ENG,G,13,-,N,N,
A,PRACTICUM II,0.0,TBA,TBA,TBA| -,50,ENG,G,49,-,N,N,
A,FINAL PAPER SUBMISSION,0.0,TBA,TBA,TBA| -,50,ENG,G,46,-,N,N,
A,ATENEO SOCIAL AND CULTURAL LABORATORY I,3.0,D 0800-0930,TBA,LIM| LIZA L.| WUI| Ma. Glenda,20,ENG,U,1,ALL SLOTS FOR 4TH YEAR AB SOCIO MAJORS.,N,N,
A,GLOBALIZATION| LOCALITIES AND IDENTITIES,3.0,D 1400-1530,TBA,ZIALCITA| FERNANDO N.,12,ENG,U,6,-,N,N,
A,ETHNOGRAPHIC ANALYSIS,3.0,D 1530-1700,TBA,ZIALCITA| FERNANDO N.,12,ENG,U,9,-,N,N,
A,AN INTRODUCTION TO MEDIA AND POLITICS,3.0,M-W-F 1030-1300,TBA,NERY| Mario Jr.,30,ENG,U,0,-,N,N,
