subject_code,section,course_title,units,time,room,instructor,max_no,lang,level,free_slots,remarks,s,p
ACCT115,HH,FINANCIAL ACCOUNTING,3,D 1530-1700,TBA,UY| SEAN RICH U.,20,ENG,U,-1,-,N,N
ACCT115,H,FINANCIAL ACCOUNTING,3,D 1230-1400,TBA,GATCHALIAN| JOYCE B.,20,ENG,U,8,-,N,N
ACCT115,A,FINANCIAL ACCOUNTING,3,D 1400-1530,TBA,GATCHALIAN| JOYCE B.,20,ENG,U,7,-,N,N
ACCT125,A,MANAGERIAL ACCOUNTING,3,D 1100-1230,TBA,ONG| JANICA MARIE T.,25,ENG,U,0,-,N,N
ANTH105,A,ETHNOGRAPHIC ANALYSIS,3,D 1530-1700,TBA,ZIALCITA| FERNANDO N.,12,ENG,U,8,-,N,N
ARTS180.04i,A,ART AS INQUIRY: ART OF RESPONSE,3,M-W-F 1530-1800,TBA,VAN DER WALL| Hidde Tjakke,25,ENG,U,0,1 SLOTS FOR 3RD YEAR AB AM MAJORS.,N,N
ARTS180.04i,B,ART AS INQUIRY: ART OF RESPONSE,3,M-W-F 1030-1300,TBA,VAN DER WALL| Hidde Tjakke,16,ENG,U,14,-,N,N
ARTS197,E,INTERNSHIP AND PROFESSIONAL EXPOSURE,3,SAT 0800-1100; SAT 1230-1700,TBA; TBA,BAUTISTA| Jaime Maria,25,ENG,U,15,-,N,N
ARTS197,A,INTERNSHIP AND PROFESSIONAL EXPOSURE,3,SAT 0800-1230; SAT 1400-1700,TBA; TBA,BAUTISTA| Jaime Maria,25,ENG,U,2,-,N,N
ARTS197,B,INTERNSHIP AND PROFESSIONAL EXPOSURE,3,SAT 0800-1100; SAT 1230-1700,TBA; TBA,VAN DER WALL| Hidde Tjakke,25,ENG,U,0,-,N,N
ARTS197,C,INTERNSHIP AND PROFESSIONAL EXPOSURE,3,SAT 0800-1230; SAT 1400-1700,TBA; TBA,MARASIGAN| ALFRED BENEDICT C.,25,ENG,U,0,-,N,N
ARTS197,D,INTERNSHIP AND PROFESSIONAL EXPOSURE,3,SAT 0800-1100; SAT 1230-1700,TBA; TBA,VELASCO-WANSOM| MOLINIA ANNE T.,25,ENG,U,0,-,N,N
ATMOS296,A,COMPREHENSIVE EXAMINATIONS,0,TBA,TBA,TBA| -,5,ENG,G,5,-,N,N
ATMOS299.1,A,THESIS I,3,TBA,TBA,TBA| -,5,ENG,G,2,-,N,N
ATMOS299.2,A,THESIS 2,3,TBA,TBA,TBA| -,10,ENG,G,9,-,N,N
ATMOS299.4,A,ORAL DEFENSE,0,TBA,TBA,TBA| -,10,ENG,G,10,-,N,N
ATMOS299.5,A,RESIDENCY,0,TBA,TBA,TBA| -,10,ENG,G,10,-,N,N
ATMOS299.6,A,FINAL PAPER SUBMISSION,0,TBA,TBA,TBA| -,10,ENG,G,10,-,N,N
ATMOS299.7,A,FINAL PAPER SUBMISSION,0,TBA,TBA,TBA| -,10,ENG,G,10,-,N,N
ArtAp10,A,ART APPRECIATION,3,D 0930-1100,TBA,MA-ALAT| Pauline Bianca,30,ENG,U,-8,-,N,N
ArtAp10,II,ART APPRECIATION,3,T 1100-1400; TH 1230-1700,TBA; TBA,LUARCA| MIGUEL ANTONIO A V.,30,ENG,U,0,-,N,N
ArtAp10,I,ART APPRECIATION,3,T 0800-1100; TH 0800-1230,TBA; TBA,LUARCA| MIGUEL ANTONIO A V.,30,ENG,U,1,-,N,N
ArtAp10,HH,ART APPRECIATION,3,T 1100-1400; TH 1230-1700,TBA; TBA,DAGMANG| Nathalie,30,ENG,U,2,-,N,N
ArtAp10,H,ART APPRECIATION,3,T 0800-1100; TH 0800-1230,TBA; TBA,DAGMANG| Nathalie,30,ENG,U,1,-,N,N
ArtAp10,GG,ART APPRECIATION,3,T 1100-1400; TH 1230-1700,TBA; TBA,MARASIGAN| ALFRED BENEDICT C.,30,ENG,U,1,-,N,N
ArtAp10,G,ART APPRECIATION,3,T 0800-1100; TH 0800-1230,TBA; TBA,MARASIGAN| ALFRED BENEDICT C.,30,ENG,U,0,-,N,N
ArtAp10,FF,ART APPRECIATION,3,M-W-F 1030-1300,TBA,PASTRANA| ALLAN J.,30,ENG,U,-3,-,N,N
ArtAp10,B,ART APPRECIATION,3,D 1400-1530,TBA,MARCELO| MENEER B.,30,ENG,U,0,-,N,N
ArtAp10,F,ART APPRECIATION,3,M-W-F 0800-1030,TBA,PASTRANA| ALLAN J.,30,ENG,U,-4,-,N,N
ArtAp10,EE,ART APPRECIATION,3,M-W-F 1300-1530,TBA,TUVIERA| Frederick,30,ENG,U,-1,-,N,N
ArtAp10,E,ART APPRECIATION,3,M-W-F 1030-1300,TBA,TUVIERA| Frederick,30,ENG,U,0,-,N,N
ArtAp10,DD,ART APPRECIATION,3,M-W-F 1300-1530,TBA,MA-ALAT| Pauline Bianca,30,ENG,U,0,-,N,N
ArtAp10,D,ART APPRECIATION,3,M-W-F 1030-1300,TBA,SANTIAGO| JOSEPH SEDFREY S.,30,ENG,U,0,-,N,N
